,business_name,telephone,business_page,rank,category,website,rating,street,locality,region,zipcode,listing_url,keyword,Address,x,y,STATE,GEOID,BLOCK,TRACT,geometry
0,Payday Loans,(312) 782-8419,https://www.yellowpages.com/chicago-il/mip/payday-loans-9866751,1. ,"Payday Loans,Loans,Insurance",http://paylesspaydayloans.com,,172 W Madison St,"Chicago, IL 60602",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"172 W Madison St Chicago, IL 60602",-87.63314,41.881958,NS,17,1061,839100,POINT (-87.63314 41.881958)
1,Sun Cash,(773) 237-3131,https://www.yellowpages.com/chicago-il/mip/sun-cash-4852039?lid=1001909014964,2. ,"Payday Loans,Loans,Check Cashing Service",,,5800 W North Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"5800 W North Ave Chicago, IL 60639",-87.77032,41.909325,NS,17,2023,250400,POINT (-87.77032 41.909325)
2,Payday Forest,(773) 922-6515,https://www.yellowpages.com/chicago-il/mip/payday-forest-466360159,3. ,Payday Loans,http://www.paydayforest.com,,227 W Monroe St Ste 146,"Chicago, IL 60606",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"227 W Monroe St Ste 146 Chicago, IL 60606",-87.634254,41.88065,NS,17,2000,839100,POINT (-87.634254 41.88065)
3,Payday Loans Chicago,(312) 252-1822,https://www.yellowpages.com/chicago-il/mip/payday-loans-chicago-462335065,4. ,"Payday Loans,Check Cashing Service",http://paydayloans-chicago.net,2,30 E Adams St,"Chicago, IL 60603",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"30 E Adams St Chicago, IL 60603",-87.62655,41.879517,NS,17,1011,320400,POINT (-87.62654999999999 41.879517)
4,Uptown Cash,(773) 538-3061,https://www.yellowpages.com/chicago-il/mip/uptown-cash-7220631?lid=1001933258585,5. ,"Payday Loans,Loans,Financing Services",http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpn5nojcv9WvR4tzJDNeKYzXE4YhOBaKhvkLKCmWve5GHaHxoQke3wUjhGYYBA51srw_NyTF13YeIeCxgoL1tanPStMJQic_ExzcpmMoMvt4ofopoMmI8heNzYQQlMsFGoOVquUMLQJNRAr2Y-VCBoxKE4IkDKaJEl07VZOLrPcuaxM6X62A1RGUVAt5vECqaBlKsqcStLQFSWfwDW1dv4WPCpiOWauYTw7c0UNpYogEIItDAplIXKFXlDA-uJyjEegXWYOfx87yY3xWkjoH3pM4zfmW94Z44q-XejsIwAKHYk&reference_id=0&publisher=yellowpages&placement=ypwebsitesrpr&action_target=listing_website,,8641 S Cottage Grove Ave,"Chicago, IL 60619",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"8641 S Cottage Grove Ave Chicago, IL 60619",-87.60484,41.737682,NS,17,2006,440102,POINT (-87.60484 41.737682)
5,First Cash Advance,(312) 850-9999,https://www.yellowpages.com/chicago-il/mip/first-cash-advance-480737733,6. ,"Payday Loans,Loans,Check Cashing Service",http://www.checksmartstores.com,,1113 W Chicago Ave,"Chicago, IL 60642",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"1113 W Chicago Ave Chicago, IL 60642",-87.6559,41.89625,NS,17,2007,243500,POINT (-87.6559 41.89625)
6,America's Financial Choice,(312) 461-9999,https://www.yellowpages.com/chicago-il/mip/americas-financial-choice-7636083,7. ,"Payday Loans,Loans",http://www.afchoice.com,,570 W Roosevelt Rd,"Chicago, IL 60607",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"570 W Roosevelt Rd Chicago, IL 60607",-87.64148,41.867237,NS,17,2021,841900,POINT (-87.64148 41.867237)
7,PLS Loan Store,(312) 377-2930,https://www.yellowpages.com/chicago-il/mip/pls-loan-store-17516,8. ,"Payday Loans,Financial Services,Check Cashing Service",http://www.plsfinancial.com,,154 N Wabash Ave,"Chicago, IL 60601",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"154 N Wabash Ave Chicago, IL 60601",-87.62627,41.884995,NS,17,1033,320102,POINT (-87.62627000000001 41.884995)
8,Usa Payday Loan,(773) 481-9053,https://www.yellowpages.com/chicago-il/mip/usa-payday-loan-453291155,9. ,"Payday Loans,Check Cashing Service,Financing Services",,,3243 N Harlem Ave,"Chicago, IL 60634",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"3243 N Harlem Ave Chicago, IL 60634",-87.80678,41.938953,NS,17,6025,171000,POINT (-87.80678 41.938953)
10,Speedy Cash,(773) 284-5758,https://www.yellowpages.com/chicago-il/mip/speedy-cash-505181561,11. ,"Payday Loans,Check Cashing Service,Gold, Silver & Platinum Buyers & Dealers",https://www.speedycash.com/find-a-store/illinois/chicago/cicero-and-w-47th,,4648 S Cicero Ave,"Chicago, IL 60638",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"4648 S Cicero Ave Chicago, IL 60638",-87.743286,41.808765,NS,17,2032,560200,POINT (-87.743286 41.808765)
11,Cash Advance Imea,(312) 278-3829,https://www.yellowpages.com/chicago-il/mip/cash-advance-imea-482058761,12. ,Payday Loans,http://www.cashadvanceimea.com,,537 S Dearborn St,"Chicago, IL 60605",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"537 S Dearborn St Chicago, IL 60605",-87.62922,41.875153,NS,17,2046,839100,POINT (-87.62922 41.875153)
12,Advance Cashnet,(773) 888-7024,https://www.yellowpages.com/chicago-il/mip/advance-cashnet-529717927,13. ,"Payday Loans,Loans,Financial Services",,,175 W Jackson Blvd Ste 1000,"Chicago, IL 60604",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"175 W Jackson Blvd Ste 1000 Chicago, IL 60604",-87.63331,41.878117,NS,17,1099,839100,POINT (-87.63330999999999 41.878117)
13,C Biz Benefits & Insurance,(312) 491-7300,https://www.yellowpages.com/chicago-il/mip/c-biz-benefits-insurance-28306900,14. ,"Payday Loans,Financing Services,Financial Services",http://www.cbiz.com,,1 S Wacker Dr,"Chicago, IL 60606",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"1 S Wacker Dr Chicago, IL 60606",-87.63676,41.88191,NS,17,1065,839100,POINT (-87.63676 41.88191)
15,Cumulus Funding,(877) 285-0389,https://www.yellowpages.com/chicago-il/mip/cumulus-funding-505818622,16. ,"Payday Loans,Financial Services,Loans",http://cumulusfunding.com,,325 W Huron St Ste 300,"Chicago, IL 60654",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"325 W Huron St Ste 300 Chicago, IL 60654",-87.6366,41.894753,NS,17,1022,081800,POINT (-87.6366 41.894753)
16,Insta Cash Inc,(773) 360-8542,https://www.yellowpages.com/chicago-il/mip/insta-cash-inc-463953270,17. ,Payday Loans,,,1032 N Ashland Ave,"Chicago, IL 60622",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"1032 N Ashland Ave Chicago, IL 60622",-87.66743,41.900654,NS,17,1008,242100,POINT (-87.66743 41.900654)
17,1st Loans Financial,(773) 235-5500,https://www.yellowpages.com/chicago-il/mip/1st-loans-financial-549183670,18. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.firstcashadvance.com,,1238 N Ashland Ave,"Chicago, IL 60622",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"1238 N Ashland Ave Chicago, IL 60622",-87.667534,41.904507,NS,17,3007,241500,POINT (-87.667534 41.904507)
18,CashLand,(773) 340-4332,https://www.yellowpages.com/chicago-il/mip/cashland-503449747,19. ,"Payday Loans,Gold, Silver & Platinum Buyers & Dealers,Check Cashing Service",http://www.cashamerica.com/cashland-stores,,4558 S Cicero Ave,"Chicago, IL 60638",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"4558 S Cicero Ave Chicago, IL 60638",-87.74332,41.8102,NS,17,2004,560200,POINT (-87.74332 41.8102)
19,"Illinois Title Loans,Inc",(773) 637-5117,https://www.yellowpages.com/chicago-il/mip/illinois-title-loans-inc-1606065,20. ,"Payday Loans,Title Loans,Loans",http://www.illinoistitleloansinc.com,,5953 W North Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"5953 W North Ave Chicago, IL 60639",-87.77474,41.90926,NS,17,4003,250600,POINT (-87.77473999999999 41.90926)
20,National Quik Cash,(773) 978-9900,https://www.yellowpages.com/chicago-il/mip/national-quik-cash-8795018,21. ,"Payday Loans,Alternative Loans",http://www.mynationalquikcash.com,,8202 S Stony Island Ave,"Chicago, IL 60617",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"8202 S Stony Island Ave Chicago, IL 60617",-87.58585,41.745846,NS,17,6028,834300,POINT (-87.58584999999999 41.745846)
22,Cash for Whatever Illinois,(888) 272-5105,https://www.yellowpages.com/chicago-il/mip/cash-for-whatever-illinois-543018475,23. ,"Payday Loans,Loans",,,6160 N Cicero Ave,"Chicago, IL 60646",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"6160 N Cicero Ave Chicago, IL 60646",-87.74834,41.99239,NS,17,4001,120200,POINT (-87.74834 41.99239)
23,PLS Loan Store,(312) 357-4000,https://www.yellowpages.com/chicago-il/mip/pls-loan-store-20278,24. ,"Payday Loans,Loans,Financing Services",http://pls247.com/il/store-locator/store/270-177-w-lake-st-chicago.html,,177 W Lake St,"Chicago, IL 60601",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"177 W Lake St Chicago, IL 60601",-87.63347,41.885727,NS,17,1034,839100,POINT (-87.63347 41.885727)
24,First American Cash Advance,(773) 767-8900,https://www.yellowpages.com/chicago-il/mip/first-american-cash-advance-3883045,25. ,"Payday Loans,Check Cashing Service,Loans",http://www.cashcitypayday.com,,7753 S Cicero Ave,"Chicago, IL 60652",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"7753 S Cicero Ave Chicago, IL 60652",-87.741455,41.751923,NS,17,2000,700200,POINT (-87.741455 41.751923)
25,Chicago Payday Loan Online,(630) 796-0881,https://www.yellowpages.com/chicago-il/mip/chicago-payday-loan-online-469728445,26. ,"Payday Loans,Loans",http://www.chicagopaydayloanonline.com,,314 E Randolph St,"Chicago, IL 60601",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"314 E Randolph St Chicago, IL 60601",-87.62011,41.88452,NS,17,1003,320101,POINT (-87.62011 41.88452)
