,Unnamed: 0,business_name,telephone,business_page,rank,category,website,rating,street,locality,region,zipcode,listing_url,keyword,Address,x,y,STATE,GEOID,BLOCK,TRACT
0,0,Payday Loans,(312) 782-8419,https://www.yellowpages.com/chicago-il/mip/payday-loans-9866751,1.0,"Payday Loans,Loans,Insurance",http://paylesspaydayloans.com,,172 W Madison St,"Chicago, IL 60602",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"172 W Madison St Chicago, IL 60602",-87.63314,41.881958,NS,17,1061,839100
1,1,"Illinois Title Loans, Inc.",(815) 401-1897,https://www.yellowpages.com/chicago-il/mip/illinois-title-loans-inc-4690904?lid=1001881127526,2.0,"Payday Loans,Title Loans,Alternative Loans",http://www.illinoistitleloansinc.com/?utm_medium=mlp&utm_source=yp&utm_campaign=il0328,3.0,8700 S Ashland Ave,"Chicago, IL 60620",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"8700 S Ashland Ave Chicago, IL 60620",,,,,,
2,2,"Illinois Title Loans, Inc.",(224) 232-8975,https://www.yellowpages.com/chicago-il/mip/illinois-title-loans-inc-6745602?lid=1001881127532,3.0,"Payday Loans,Title Loans,Alternative Loans",http://www.illinoistitleloansinc.com/?utm_medium=mlp&utm_source=yp&utm_campaign=il0187,,3159 W Cermak Rd,"Chicago, IL 60623",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"3159 W Cermak Rd Chicago, IL 60623",-87.70453,41.85177,NS,17,2001,300900
3,3,"Illinois Title Loans, Inc.",(331) 253-6700,https://www.yellowpages.com/chicago-il/mip/illinois-title-loans-inc-3658811?lid=1001881127517,4.0,"Payday Loans,Title Loans,Alternative Loans",http://www.illinoistitleloansinc.com/?utm_medium=mlp&utm_source=yp&utm_campaign=il0324,,5762 N Milwaukee Ave,"Chicago, IL 60646",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"5762 N Milwaukee Ave Chicago, IL 60646",-87.77738,41.98622,NS,17,3006,110100
4,4,Speedy Cash,(888) 662-8157,https://www.yellowpages.com/chicago-il/mip/speedy-cash-505181561?lid=1001434459592,5.0,"Payday Loans,Money Transfer Service,Check Cashing Service",https://www.speedycash.com/store-services/find-a-store/illinois/chicago/cicero-and-w-47th/?utm_source=iyp&utm_medium=yp&utm_campaign=mlp&utm_state=IL&cvsosrc=directory.yp.iyp-mlp,,4648 S Cicero Ave,"Chicago, IL 60638",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"4648 S Cicero Ave Chicago, IL 60638",-87.743286,41.808765,NS,17,2032,560200
5,5,Speedy Cash,(800) 790-9691,https://www.yellowpages.com/chicago-il/mip/speedy-cash-502863527?lid=1000785042958,6.0,"Payday Loans,Money Order Service,Loans",https://www.speedycash.com/store-services/find-a-store/illinois/chicago/cottage-grove-and-87th/?utm_source=iyp&utm_medium=yp&utm_campaign=mlp&utm_state=IL&cvsosrc=directory.yp.iyp-mlp,,8701 S Cottage Grove Ave,"Chicago, IL 60619",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"8701 S Cottage Grove Ave Chicago, IL 60619",-87.60481,41.736576,NS,17,1003,440800
6,6,Speedy Cash,(773) 382-8972,https://www.yellowpages.com/chicago-il/mip/speedy-cash-507250586?lid=1001228594776,7.0,"Payday Loans,Money Order Service,Check Cashing Service",https://www.speedycash.com/store-services/find-a-store/illinois/chicago/addison-and-cicero/?utm_source=iyp&utm_medium=yp&utm_campaign=mlp&utm_state=IL&cvsosrc=directory.yp.iyp-mlp,,4800 W Addison St,"Chicago, IL 60641",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"4800 W Addison St Chicago, IL 60641",-87.747116,41.94613,NS,17,3018,150800
7,7,Speedy Cash,(888) 526-5565,https://www.yellowpages.com/chicago-il/mip/speedy-cash-507665380?lid=1001027772329,8.0,"Payday Loans,Money Order Service,Loans",https://www.speedycash.com/store-services/find-a-store/illinois/chicago/ashland-ave-and-119th/?utm_source=iyp&utm_medium=yp&utm_campaign=mlp&utm_state=IL&cvsosrc=directory.yp.iyp-mlp,,1552 W 119th St,"Chicago, IL 60643",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"1552 W 119th St Chicago, IL 60643",-87.66056,41.677563,NS,17,4034,530300
8,8,Sun Cash,(773) 237-3131,https://www.yellowpages.com/chicago-il/mip/sun-cash-4852039?lid=1001909014964,9.0,"Payday Loans,Loans,Check Cashing Service",,,5800 W North Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"5800 W North Ave Chicago, IL 60639",-87.77032,41.909325,NS,17,2023,250400
9,9,Payday Forest,(773) 922-6515,https://www.yellowpages.com/chicago-il/mip/payday-forest-466360159,10.0,Payday Loans,http://www.paydayforest.com,,227 W Monroe St Ste 146,"Chicago, IL 60606",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"227 W Monroe St Ste 146 Chicago, IL 60606",-87.634254,41.88065,NS,17,2000,839100
