,Address,ADDRESBR,STALPBR,ZIPBR,x,y,STATE,GEOID,BLOCK,TRACT
0,"0n 010 Winfield Road, IL 60190",0n 010 Winfield Road,IL,60190,-88.15674,41.87632,NS,17,3007,841403
1,"1 South N.W. Highway, IL 60068",1 South N.W. Highway,IL,60068,,,,,,
2,"10 South Dearborn Street, IL 60603",10 South Dearborn Street,IL,60603,,,,,,
3,"100 East Higgins Road, IL 60007",100 East Higgins Road,IL,60007,-87.984924,42.028107,NS,17,1017,770400
4,"100 West North Avenue, IL 60164",100 West North Avenue,IL,60164,,,,,,
5,"1000 S Randall Rd, IL 60102",1000 S Randall Rd,IL,60102,-88.33563,42.16071,NS,17,3012,871206
6,"1011 South Sutton Road, IL 60107",1011 South Sutton Road,IL,60107,-88.20296,42.016907,NS,17,3014,804506
7,"10440 South Cicero Avenue, IL 60453",10440 South Cicero Avenue,IL,60453,-87.74018,41.70296,NS,17,1018,822602
8,"1048 Lake St, IL 60301",1048 Lake St,IL,60301,-87.80246,41.888645,NS,17,2002,812301
9,"1055 West Bryn Mawr Avenue, IL 60660",1055 West Bryn Mawr Avenue,IL,60660,-87.6572,41.983665,NS,17,1001,030701
10,"1084 South Roselle Road, IL 60193",1084 South Roselle Road,IL,60193,-88.08006,42.007904,NS,17,4006,804810
11,"110 East Veterans Parkway, IL 60560",110 East Veterans Parkway,IL,60560,-88.44308,41.657627,NS,17,2020,890401
12,"1101 West Lawrence Avenue, IL 60640",1101 West Lawrence Avenue,IL,60640,-87.657684,41.969048,NS,17,2003,830700
13,"111 East Busse Avenue, IL 60056",111 East Busse Avenue,IL,60056,,,,,,
14,"11205 Lincoln Hwy, IL 60448",11205 Lincoln Hwy,IL,60448,,,,,,
15,"11211 Cermak Road, IL 60154",11211 Cermak Road,IL,60154,-87.902596,41.848103,NS,17,3000,818500
16,"1122 North Clark Street, IL 60610",1122 North Clark Street,IL,60610,-87.63141,41.90219,NS,17,1001,081000
17,"1130 South Canal Street, IL 60607",1130 South Canal Street,IL,60607,-87.63923,41.868176,NS,17,2017,841900
18,"1130 West Taylor Street, IL 60607",1130 West Taylor Street,IL,60607,-87.65548,41.869442,NS,17,1024,833300
19,"1131 East Dundee Road, IL 60074",1131 East Dundee Road,IL,60074,-88.01917,42.13914,NS,17,2000,803614
20,"1132 State St, IL 60439",1132 State St,IL,60439,-87.99991,41.65952,ST,17,2023,824005
21,"11440 Main St, IL 61073",11440 Main St,IL,61073,-89.01244,42.426968,NS,17,3003,003904
22,"11721 S Halsted Street, IL 60628",11721 S Halsted Street,IL,60628,-87.64203,41.68157,NS,17,4020,530200
23,"118 Cass Street, IL 60098",118 Cass Street,IL,60098,-88.4471,42.315243,NS,17,1014,870905
24,"1188 N Eola Rd, IL 60502",1188 N Eola Rd,IL,60502,,,,,,
25,"1190 South Elmhurst Road, IL 60056",1190 South Elmhurst Road,IL,60056,-87.940735,42.0437,NS,17,2002,805002
26,"120 East Wesley, IL 60187",120 East Wesley,IL,60187,-88.10626,41.86613,NS,17,3001,842500
27,"120 North Scott Street, IL 60432",120 North Scott Street,IL,60432,-88.08015,41.52646,NS,17,2019,882000
28,"1200 Central Avenue, IL 60091",1200 Central Avenue,IL,60091,-87.70775,42.076687,NS,17,4021,801300
29,"1200 N Clybourn Ave, IL 60610",1200 N Clybourn Ave,IL,60610,-87.63968,41.90386,NS,17,2002,080400
